OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,TotalBsmtSF,BsmtQual,1stFlrSF,KitchenQual,FullBath,TotRmsAbvGrd,YearBuilt,GarageFinish,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,HeatingQC,BsmtFinSF1,Foundation,GarageType,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,BsmtExposure,HalfBath,LotArea,LotShape,CentralAir,Electrical,PavedDrive,BsmtFullBath
5,1214,1,TA,318,1214,TA,1214,TA,2,5,1967,RFn,1967,1967.0,196.0,1,TA,695,CBlock,Attchd,,0,0,111,No,0,10355,IR1,Y,SBrkr,Y,0
7,1959,3,TA,766,1907,TA,1959,TA,3,9,1988,Unf,1989,1989.0,70.0,0,Gd,0,CBlock,2Types,82.0,0,0,0,No,0,11070,Reg,Y,SBrkr,Y,0
8,1852,3,Gd,660,1004,Gd,1004,Gd,2,7,1999,Fin,2000,1999.0,320.0,2,Ex,668,PConc,Attchd,73.0,224,848,106,Mn,1,9066,IR1,Y,SBrkr,Y,0
6,1764,2,TA,470,928,Gd,928,Gd,2,7,1997,RFn,1997,1997.0,0.0,0,Ex,821,PConc,Attchd,65.0,276,836,99,No,1,15426,IR1,Y,SBrkr,Y,1
4,864,0,TA,0,864,TA,864,TA,1,5,1971,,1971,,0.0,1,TA,432,CBlock,,70.0,0,0,0,No,0,10500,Reg,Y,SBrkr,Y,0
7,1734,2,Gd,660,1734,Gd,1734,Gd,2,7,2005,Fin,2005,2005.0,0.0,0,Ex,1300,PConc,Attchd,78.0,160,0,24,Av,0,11645,Reg,Y,SBrkr,Y,1
5,1385,2,TA,720,910,TA,910,TA,2,6,1952,Unf,1952,2000.0,0.0,0,Fa,507,CBlock,Detchd,71.0,0,475,0,No,0,8520,Reg,Y,SBrkr,Y,0
7,1501,2,Gd,577,1490,Gd,1501,Gd,2,6,1999,RFn,1999,1999.0,183.0,0,Ex,679,PConc,Attchd,78.0,144,0,29,Gd,0,10335,IR1,Y,SBrkr,Y,1
5,1728,2,TA,504,1728,TA,1728,TA,2,10,1963,Unf,1963,1963.0,336.0,0,TA,1332,CBlock,Detchd,70.0,0,0,0,No,0,9100,Reg,Y,SBrkr,Y,1
6,1709,2,Gd,380,970,Gd,970,Gd,2,7,2004,Unf,2006,2004.0,50.0,0,Ex,0,PConc,Detchd,24.0,0,739,40,No,0,2522,Reg,Y,SBrkr,Y,0
5,875,1,TA,180,715,TA,875,TA,1,5,1931,Unf,1993,1931.0,0.0,0,TA,209,BrkTil,Detchd,51.0,48,0,0,No,0,6120,Reg,Y,FuseA,Y,1
7,2035,2,Gd,434,884,Gd,884,Gd,2,8,2001,Fin,2001,2001.0,180.0,1,Ex,0,PConc,BuiltIn,,144,1151,48,No,1,9505,IR1,Y,SBrkr,Y,0
7,1080,0,TA,0,1080,Gd,1080,Gd,1,6,2004,,2005,,120.0,0,Ex,680,PConc,,63.0,0,0,0,No,0,7500,Reg,Y,SBrkr,Y,1
5,1344,1,TA,240,896,Gd,896,TA,1,7,1936,Unf,1950,1936.0,0.0,0,Gd,0,BrkTil,Detchd,,200,448,114,No,0,6240,Reg,Y,FuseA,Y,0
5,969,2,TA,440,969,TA,969,TA,1,5,1975,Unf,1975,1975.0,0.0,0,TA,716,CBlock,Attchd,120.0,0,0,0,Av,1,10356,Reg,Y,SBrkr,Y,0
8,1710,3,Gd,866,1710,Ex,1710,Gd,2,6,2007,RFn,2008,2007.0,436.0,1,Ex,1400,PConc,Attchd,107.0,0,0,102,Gd,0,13891,Reg,Y,SBrkr,Y,1
6,1993,2,TA,495,825,TA,1097,TA,2,8,1971,RFn,1971,1971.0,252.0,1,Gd,416,CBlock,Attchd,,0,896,66,No,1,14803,IR1,Y,SBrkr,Y,0
6,1252,2,TA,564,1602,Gd,1252,TA,1,4,1960,RFn,1975,1960.0,0.0,1,Gd,429,CBlock,Attchd,,409,0,0,Gd,0,13500,Reg,Y,SBrkr,Y,1
6,1200,1,TA,312,1200,TA,1200,TA,1,7,1923,Unf,1950,1923.0,0.0,0,TA,0,BrkTil,Detchd,84.0,0,0,0,No,0,11340,Reg,Y,FuseA,Y,0
6,1096,0,TA,0,572,TA,572,TA,1,5,1924,,1950,,0.0,0,Fa,0,BrkTil,,60.0,0,524,8,No,0,9600,Reg,N,FuseF,N,0
5,1040,2,TA,625,0,,1040,TA,1,5,1950,Unf,1950,1950.0,0.0,0,TA,0,CBlock,Detchd,60.0,0,0,0,,0,7200,Reg,Y,FuseF,Y,0
8,1968,3,Gd,680,774,Ex,774,Ex,2,8,2009,Fin,2010,2009.0,84.0,1,Ex,0,PConc,BuiltIn,92.0,0,1194,75,No,1,12003,Reg,Y,SBrkr,Y,0
7,1947,2,Gd,678,991,Gd,991,Gd,2,8,2004,RFn,2005,2004.0,0.0,1,Ex,222,PConc,Attchd,100.0,0,956,136,No,1,12552,Reg,Y,SBrkr,Y,0
7,2462,2,Gd,576,1392,Gd,1392,Gd,2,9,2005,RFn,2006,2006.0,456.0,1,Ex,57,PConc,Attchd,134.0,239,1070,132,Mn,1,19378,IR1,Y,SBrkr,Y,1
6,1232,2,TA,516,1232,Gd,1232,TA,2,6,1984,Unf,1984,1984.0,0.0,0,TA,660,PConc,Attchd,,0,0,0,No,0,11120,IR1,Y,SBrkr,Y,0
9,2668,3,Gd,726,1572,Ex,1572,Ex,2,10,2003,Fin,2004,2003.0,664.0,2,Ex,1016,PConc,BuiltIn,110.0,400,1096,0,Av,1,13688,IR1,Y,SBrkr,Y,1
7,1541,2,Gd,532,1541,Gd,1541,Gd,2,7,2005,RFn,2005,2005.0,226.0,1,Ex,1201,PConc,Attchd,95.0,0,0,70,Mn,0,12182,Reg,Y,SBrkr,Y,0
4,882,0,TA,0,882,TA,882,TA,1,4,1956,,1956,,0.0,0,Ex,0,CBlock,,55.0,0,0,0,No,0,5500,Reg,Y,SBrkr,Y,0
6,1616,1,TA,216,1149,TA,1149,Gd,2,5,1926,Unf,2004,1926.0,0.0,0,Gd,370,BrkTil,Detchd,40.0,0,467,0,Mn,0,5400,Reg,Y,FuseA,Y,0
5,1355,0,TA,0,644,TA,808,TA,2,6,1940,,1999,,0.0,0,Gd,351,BrkTil,,62.0,140,547,0,No,0,10106,Reg,Y,SBrkr,Y,1
5,1867,1,Gd,303,1617,TA,1867,TA,1,7,1955,Fin,1993,1955.0,0.0,3,Ex,379,CBlock,Attchd,,476,0,0,No,0,10708,IR1,Y,FuseA,Y,1
8,2161,3,Gd,789,1582,Ex,1610,Ex,1,8,2007,Fin,2007,2007.0,300.0,1,Ex,1288,PConc,Attchd,86.0,178,551,120,No,1,10562,Reg,Y,SBrkr,Y,1
7,1720,2,Gd,440,840,Gd,840,Gd,2,7,2004,Fin,2004,2004.0,0.0,1,Ex,0,PConc,Attchd,62.0,100,880,48,No,1,8244,IR1,Y,SBrkr,Y,0
8,1707,2,Gd,511,1686,Gd,1707,TA,2,6,1981,RFn,1981,1981.0,653.0,1,TA,0,CBlock,Attchd,,574,0,64,No,1,16669,IR1,Y,SBrkr,Y,0
5,1382,2,TA,660,720,TA,854,TA,1,7,1941,Unf,1950,1991.0,0.0,0,TA,360,CBlock,Detchd,,237,0,0,No,1,12358,IR1,Y,SBrkr,Y,0
6,1656,2,TA,528,1080,TA,1656,TA,1,7,1960,Fin,1960,1960.0,112.0,2,Fa,639,CBlock,Attchd,141.0,210,0,62,Gd,0,31770,IR1,Y,SBrkr,P,1
7,1767,2,Gd,504,1064,Gd,1064,Gd,2,5,1987,RFn,1987,1987.0,0.0,1,Gd,495,PConc,Attchd,44.0,441,703,35,No,0,5306,IR1,Y,SBrkr,Y,1
6,1362,2,TA,504,1362,TA,1362,TA,1,6,1961,Unf,1961,1961.0,491.0,1,TA,288,CBlock,Attchd,80.0,0,0,20,No,1,10197,IR1,Y,SBrkr,Y,1
6,1651,2,TA,616,1606,Gd,1651,TA,2,7,1986,Fin,1986,1986.0,132.0,1,TA,1398,CBlock,Attchd,47.0,192,0,0,No,0,12416,IR1,Y,SBrkr,Y,1
6,2158,2,TA,576,1202,TA,2158,Gd,2,7,1950,Unf,2001,1950.0,0.0,1,TA,477,CBlock,Attchd,84.0,0,0,29,Av,0,12615,Reg,Y,SBrkr,Y,1
6,2060,2,Gd,521,1151,Gd,1164,TA,2,8,1988,Unf,1989,1988.0,268.0,1,TA,831,PConc,Attchd,97.0,0,896,228,No,1,10029,IR1,Y,SBrkr,Y,0
5,1920,2,Gd,451,1052,TA,1252,Gd,2,8,1958,Unf,1958,1958.0,0.0,1,Ex,57,CBlock,Attchd,,0,668,0,No,0,13650,Reg,Y,SBrkr,Y,1
9,2234,3,Ex,1166,2216,Ex,2234,Ex,2,9,2008,Fin,2009,2009.0,748.0,1,Ex,1904,PConc,Attchd,63.0,0,0,60,No,0,17423,IR1,Y,SBrkr,Y,1
5,968,2,Gd,480,968,TA,968,TA,1,5,1923,Unf,2006,1935.0,0.0,0,TA,0,CBlock,Detchd,60.0,0,0,0,No,0,8520,Reg,Y,SBrkr,N,0
6,1525,2,Gd,440,756,Gd,769,Gd,2,5,2000,Unf,2000,2000.0,456.0,1,Ex,436,PConc,Detchd,,0,756,0,No,1,2117,Reg,Y,SBrkr,Y,0
7,1802,1,TA,216,793,Fa,901,TA,1,9,1920,Unf,1950,1920.0,0.0,1,Gd,352,BrkTil,Detchd,54.0,0,901,0,No,1,7588,Reg,Y,SBrkr,Y,0
5,1340,1,TA,252,0,,1340,TA,1,7,1957,RFn,2006,1957.0,98.0,1,Ex,0,PConc,Attchd,60.0,116,0,0,,0,9060,Reg,Y,SBrkr,Y,0
7,2082,2,TA,484,1362,Gd,1362,Gd,2,6,2003,Unf,2003,2003.0,0.0,0,Ex,0,PConc,Detchd,63.0,280,720,238,No,1,11426,Reg,Y,SBrkr,N,0
5,1252,2,TA,576,504,Fa,936,TA,1,5,1908,Unf,1991,1986.0,0.0,0,Gd,0,PConc,Attchd,92.0,104,316,0,No,0,7438,IR1,Y,SBrkr,Y,0
10,3608,3,Gd,840,1107,TA,1518,Ex,2,12,1892,Unf,1993,1993.0,0.0,2,Ex,0,BrkTil,Detchd,90.0,0,1518,260,Mn,1,22950,IR2,Y,SBrkr,Y,0
7,1217,2,TA,497,1188,Gd,1217,Gd,2,6,1990,Unf,1991,1990.0,0.0,0,Ex,611,PConc,Attchd,,168,0,27,Av,0,9947,IR1,Y,SBrkr,Y,1
5,1656,1,TA,180,660,Fa,808,TA,2,8,1916,Unf,1987,1916.0,0.0,0,Ex,0,CBlock,Detchd,60.0,0,704,0,No,1,10410,Reg,Y,SBrkr,N,0
5,1224,2,TA,528,1086,Gd,1224,TA,0,6,1979,Unf,1979,1979.0,275.0,2,TA,1086,CBlock,Detchd,64.0,120,0,0,Av,2,7018,Reg,Y,SBrkr,Y,2
8,1593,2,Gd,682,1593,Ex,1593,Ex,1,5,2001,Fin,2002,2001.0,0.0,1,Ex,1153,PConc,Attchd,41.0,0,0,120,Av,1,4923,Reg,Y,SBrkr,Y,1
8,2727,2,Gd,440,853,Gd,1549,Gd,2,10,1932,Unf,1994,1932.0,0.0,2,TA,297,CBlock,Detchd,70.0,0,1178,74,No,1,10570,Reg,Y,SBrkr,Y,0
7,1479,2,TA,484,725,TA,725,Gd,1,7,1972,Fin,2004,1972.0,138.0,0,Gd,626,CBlock,Attchd,,0,754,32,No,1,7472,IR1,Y,SBrkr,Y,1
7,1431,2,Gd,666,1431,Gd,1431,Gd,2,6,1999,Fin,1999,1999.0,0.0,0,Ex,560,PConc,Attchd,68.0,0,0,35,Av,0,9017,IR1,Y,SBrkr,Y,1
7,1709,2,Gd,380,970,Gd,970,Gd,2,7,2004,Unf,2004,2004.0,50.0,0,Ex,0,PConc,Detchd,24.0,0,739,40,No,0,2522,Reg,Y,SBrkr,Y,0
5,864,1,TA,352,864,TA,864,TA,1,5,1972,Unf,1972,1989.0,0.0,0,TA,390,CBlock,Detchd,60.0,0,0,0,Av,0,7180,IR1,Y,SBrkr,Y,0
6,1456,2,TA,440,855,Gd,855,TA,2,7,1976,Unf,1976,1976.0,0.0,1,TA,566,CBlock,Attchd,24.0,87,601,0,No,1,2280,Reg,Y,SBrkr,Y,0
7,1726,3,Ex,786,1726,Ex,1726,Ex,2,8,2007,Fin,2007,2007.0,205.0,1,Ex,1126,PConc,Attchd,79.0,171,0,138,No,0,9416,Reg,Y,SBrkr,Y,1
8,3112,2,Gd,795,1360,TA,1360,Gd,2,8,1918,Unf,1990,1918.0,0.0,1,Gd,1036,PConc,Detchd,174.0,0,1360,16,No,0,25419,Reg,Y,SBrkr,Y,1
6,2229,0,TA,0,755,TA,929,TA,1,8,1912,,1950,,0.0,0,Ex,0,CBlock,,92.0,0,929,198,No,0,5520,Reg,Y,SBrkr,Y,0
8,1713,3,Gd,856,1713,Ex,1713,Ex,2,7,2004,Fin,2005,2004.0,262.0,1,Ex,1088,PConc,Attchd,76.0,0,0,26,Av,0,9591,Reg,Y,SBrkr,Y,1
4,1121,2,TA,440,1121,Gd,1121,TA,2,5,2003,RFn,2004,2003.0,0.0,0,Ex,0,PConc,Attchd,80.0,132,0,64,No,0,8546,Reg,Y,SBrkr,Y,0
6,1279,2,TA,473,1196,TA,1279,TA,2,6,1977,Unf,1977,1980.0,0.0,2,TA,641,CBlock,Detchd,75.0,238,0,83,No,0,10125,Reg,Y,SBrkr,Y,0
6,1310,1,TA,398,617,Fa,865,TA,2,6,1924,Unf,1950,1924.0,0.0,0,Gd,617,BrkTil,Attchd,50.0,0,445,0,No,0,7000,Reg,Y,SBrkr,Y,0
6,848,2,Gd,420,848,Gd,848,Gd,1,3,2004,RFn,2004,2004.0,205.0,1,Ex,662,PConc,Attchd,,149,0,0,Av,0,4438,Reg,Y,SBrkr,Y,1
5,1284,1,TA,240,720,TA,720,TA,1,5,1947,Unf,1950,1948.0,0.0,0,TA,312,CBlock,Detchd,50.0,0,564,35,No,1,3500,Reg,Y,SBrkr,Y,0
7,1442,2,TA,500,1424,Gd,1442,TA,2,5,1990,RFn,1990,1990.0,0.0,0,Ex,0,PConc,Attchd,99.0,0,0,34,No,0,11851,Reg,Y,SBrkr,Y,0
5,1696,1,TA,349,1140,TA,1696,TA,1,8,1962,RFn,1962,1962.0,0.0,1,TA,0,CBlock,Attchd,40.0,0,0,30,No,1,13673,IR1,Y,SBrkr,Y,0
4,1100,1,TA,312,1100,TA,1100,TA,1,6,1960,RFn,1960,1960.0,0.0,1,TA,419,PConc,Attchd,,355,0,0,No,0,12493,IR1,Y,SBrkr,Y,1
7,2062,2,Gd,454,1157,Gd,1180,TA,2,7,1988,Fin,1989,1988.0,128.0,1,Ex,1065,CBlock,Attchd,,60,882,55,Gd,1,14364,IR1,Y,SBrkr,Y,1
6,1092,2,TA,504,1092,Gd,1092,TA,1,6,1964,RFn,1964,1964.0,260.0,0,Ex,787,CBlock,Attchd,75.0,0,0,0,No,0,8250,Reg,Y,SBrkr,Y,1
5,864,0,TA,0,864,TA,864,TA,1,5,1925,,1950,,0.0,0,TA,468,CBlock,,67.0,0,0,0,No,0,5604,Reg,N,FuseA,Y,1
6,1212,2,TA,460,1212,Gd,1212,Gd,2,6,2009,RFn,2009,2009.0,0.0,0,Ex,36,PConc,Attchd,83.0,100,0,22,Mn,0,10420,Reg,Y,SBrkr,Y,0
7,1852,2,TA,644,900,Gd,932,Gd,2,7,2009,RFn,2009,2009.0,0.0,1,Ex,822,PConc,Attchd,72.0,168,920,108,No,1,8640,Reg,Y,SBrkr,Y,1
5,990,2,TA,576,990,Gd,990,TA,1,5,1995,Unf,1995,1996.0,0.0,0,Ex,716,PConc,Attchd,43.0,224,0,0,No,0,13568,IR2,Y,SBrkr,Y,0
6,1392,1,TA,299,689,Gd,689,TA,1,6,1977,Fin,1977,1977.0,153.0,0,Ex,378,CBlock,Attchd,,0,703,36,No,1,10900,IR1,Y,SBrkr,Y,0
5,1236,1,TA,447,1070,TA,1236,Gd,1,6,1957,Unf,1996,1957.0,64.0,1,TA,360,CBlock,Attchd,72.0,0,0,0,No,0,10011,IR1,Y,SBrkr,Y,0
7,1436,2,Gd,484,1436,Gd,1436,Gd,2,8,2004,Unf,2004,2004.0,266.0,0,Ex,946,PConc,Attchd,65.0,139,0,98,Mn,0,8450,Reg,Y,SBrkr,Y,1
4,1328,1,TA,210,686,TA,810,TA,1,8,1925,Unf,1950,1940.0,0.0,0,Fa,0,CBlock,Detchd,57.0,0,518,172,No,0,9906,Reg,N,SBrkr,Y,0
7,1954,2,Gd,431,798,TA,1137,Gd,1,8,1939,Unf,2006,1939.0,312.0,2,Ex,341,CBlock,Attchd,,0,817,119,No,1,15660,IR1,Y,SBrkr,Y,0
7,1248,2,Gd,438,1248,Gd,1248,Gd,2,5,2005,Fin,2006,2005.0,16.0,0,Ex,16,PConc,Attchd,43.0,108,0,0,Av,0,3010,Reg,Y,SBrkr,Y,0
7,1498,2,Gd,675,1498,Gd,1498,Gd,2,5,2006,RFn,2006,2006.0,0.0,0,Ex,0,PConc,Attchd,73.0,351,0,33,Mn,0,8990,IR1,Y,SBrkr,Y,0
6,2267,2,Gd,390,1010,Gd,1010,Gd,2,8,2002,RFn,2002,2002.0,0.0,1,Ex,0,PConc,BuiltIn,,120,1257,46,No,1,8068,IR1,Y,SBrkr,Y,0
6,1552,2,TA,434,713,Gd,811,TA,2,6,1975,RFn,1975,1975.0,0.0,1,TA,550,CBlock,Attchd,85.0,209,741,208,No,1,11475,Reg,Y,SBrkr,Y,1
4,864,2,TA,576,864,TA,864,TA,1,4,1971,Unf,1971,1989.0,0.0,0,Gd,524,CBlock,Detchd,70.0,216,0,0,No,0,10500,Reg,Y,SBrkr,Y,0
10,2392,3,Ex,968,2392,Ex,2392,Ex,2,8,2003,Fin,2003,2003.0,922.0,1,Ex,56,PConc,Attchd,103.0,248,0,105,Gd,0,13472,Reg,Y,SBrkr,Y,0
5,1302,1,TA,280,630,TA,630,TA,2,6,1971,Unf,1971,1991.0,142.0,0,TA,0,CBlock,Detchd,21.0,0,672,0,No,1,1680,Reg,Y,SBrkr,Y,0
7,2520,3,Gd,721,1203,Gd,1214,Gd,2,9,1995,RFn,1995,1995.0,290.0,1,Ex,565,PConc,Attchd,82.0,224,1306,114,No,1,9950,IR1,Y,SBrkr,Y,0
6,987,1,TA,280,483,TA,483,TA,1,5,1970,Unf,1970,1987.0,127.0,0,TA,321,CBlock,Detchd,21.0,0,504,0,No,1,1869,Reg,Y,SBrkr,Y,0
5,912,1,TA,336,912,TA,912,TA,1,5,1967,Unf,1967,1974.0,0.0,1,TA,842,CBlock,Detchd,70.0,0,0,0,No,0,8521,Reg,Y,SBrkr,Y,0
7,1555,2,Gd,430,1373,Gd,1555,Gd,2,7,2005,Fin,2006,2005.0,16.0,1,Ex,16,PConc,Attchd,43.0,143,0,20,Av,0,3182,Reg,Y,SBrkr,Y,0
6,1194,1,TA,312,1194,TA,1194,TA,1,6,1959,RFn,1959,1959.0,220.0,0,TA,0,CBlock,Attchd,73.0,0,0,0,No,0,8760,Reg,Y,SBrkr,Y,1
8,2794,3,Gd,810,1462,Gd,1490,Ex,2,9,1995,Fin,1996,1995.0,506.0,1,Ex,689,PConc,Attchd,174.0,0,1304,146,No,1,15138,IR1,Y,SBrkr,Y,1
6,987,1,TA,288,483,TA,483,TA,1,5,1972,Unf,1972,1972.0,297.0,1,TA,0,CBlock,Attchd,21.0,0,504,0,No,1,1680,Reg,Y,SBrkr,Y,0
5,894,1,TA,308,894,TA,894,TA,1,5,1976,Unf,1976,1976.0,0.0,0,TA,182,CBlock,Attchd,75.0,365,0,0,Av,0,10650,Reg,Y,SBrkr,Y,1
6,1960,2,Gd,440,860,Gd,860,Gd,2,8,2002,Fin,2002,2002.0,,2,Ex,625,PConc,BuiltIn,,288,1100,48,No,1,7851,Reg,Y,SBrkr,Y,1
6,987,1,TA,264,483,TA,483,TA,1,5,1971,Unf,1971,1971.0,604.0,0,TA,358,CBlock,Detchd,21.0,0,504,0,No,1,1680,Reg,Y,SBrkr,Y,0
7,1414,2,Gd,494,1414,Gd,1414,Gd,2,6,2004,RFn,2004,2004.0,98.0,0,Ex,24,PConc,Attchd,65.0,132,0,105,Av,0,8773,Reg,Y,SBrkr,Y,0
7,1744,2,Gd,457,996,Gd,1014,Gd,2,7,1993,RFn,2003,1993.0,0.0,0,Ex,402,PConc,Attchd,,370,730,70,No,1,9453,IR1,Y,SBrkr,Y,0
8,1694,3,Ex,818,1694,Ex,1694,Gd,2,7,2007,Fin,2007,2007.0,254.0,0,Ex,0,PConc,Attchd,93.0,168,0,228,No,0,12030,Reg,Y,SBrkr,Y,0
6,1487,1,TA,220,735,TA,798,TA,1,7,1945,Unf,1950,1949.0,0.0,1,TA,94,CBlock,Detchd,52.0,0,689,140,No,1,8741,Reg,Y,FuseA,Y,0
8,1566,2,Gd,750,1566,Gd,1566,Gd,2,7,2008,RFn,2008,2008.0,36.0,0,Ex,1078,PConc,Attchd,75.0,144,0,168,Av,0,9000,Reg,Y,SBrkr,Y,1
5,866,0,TA,0,686,TA,866,Gd,1,4,1945,,1997,,0.0,0,Gd,329,CBlock,,40.0,58,0,42,No,0,3880,Reg,Y,SBrkr,Y,0
5,1440,1,TA,352,540,TA,889,TA,1,6,1900,Unf,1950,1940.0,0.0,0,Gd,0,BrkTil,Attchd,63.0,0,551,0,No,0,5000,Reg,N,FuseA,Y,0
6,1217,1,TA,288,626,Gd,626,TA,1,6,1980,RFn,1980,1980.0,0.0,1,TA,0,CBlock,Attchd,75.0,0,591,28,No,1,10762,Reg,Y,SBrkr,Y,0
7,2110,2,Gd,463,948,Gd,1222,Gd,2,8,1994,RFn,2002,1994.0,0.0,2,Ex,695,PConc,Attchd,,0,888,130,No,1,8880,IR1,Y,SBrkr,Y,1
7,1872,2,TA,604,1845,Gd,1872,TA,2,6,1988,Fin,1988,1988.0,102.0,1,Gd,929,CBlock,Attchd,80.0,197,0,39,Av,0,10400,Reg,Y,SBrkr,Y,0
6,1928,1,TA,440,1020,Fa,908,Fa,2,9,1910,Unf,1950,1910.0,0.0,0,Gd,0,Stone,Detchd,69.0,0,1020,60,No,0,9142,Reg,N,FuseP,Y,0
6,1375,2,TA,451,1367,TA,1375,TA,1,5,1954,Unf,1954,1954.0,0.0,1,Ex,0,CBlock,Attchd,75.0,0,0,30,No,0,11310,Reg,Y,SBrkr,Y,0
7,1668,2,Gd,500,840,Gd,840,Gd,2,8,2003,RFn,2003,2003.0,101.0,0,Ex,0,PConc,Attchd,72.0,144,828,68,No,1,11317,Reg,Y,SBrkr,Y,0
6,2144,2,Gd,389,1444,Gd,1444,Gd,2,7,1958,Fin,2006,1958.0,472.0,2,Gd,697,CBlock,Attchd,,0,700,98,Gd,0,159000,IR2,Y,SBrkr,Y,0
3,1306,0,TA,0,728,TA,1306,Fa,1,6,1940,,1966,,0.0,0,Ex,0,CBlock,,55.0,263,0,0,No,0,5350,IR1,Y,SBrkr,Y,0
8,1625,2,Gd,538,1573,Gd,1625,Gd,2,5,2006,Fin,2007,2006.0,481.0,1,Ex,1573,PConc,Attchd,44.0,123,0,0,Gd,0,4750,IR1,Y,SBrkr,Y,1
6,1640,2,Gd,520,798,Gd,798,Gd,2,6,2004,RFn,2004,2004.0,0.0,0,Ex,0,PConc,Attchd,65.0,138,842,45,No,1,8366,IR1,Y,SBrkr,Y,0
6,1302,1,TA,309,1302,Gd,1302,Gd,2,7,1964,RFn,1991,1964.0,108.0,0,Ex,270,CBlock,Attchd,85.0,333,0,0,Gd,0,9350,Reg,Y,SBrkr,Y,0
5,1314,1,TA,294,1314,TA,1314,TA,1,5,1957,RFn,1957,1957.0,0.0,0,TA,922,CBlock,Attchd,70.0,250,0,0,No,0,8400,Reg,Y,SBrkr,Y,1
7,2291,2,Gd,429,975,Gd,1005,Gd,2,8,1999,Fin,1999,1999.0,302.0,1,Ex,0,PConc,BuiltIn,66.0,192,1286,0,No,1,8738,IR1,Y,SBrkr,Y,0
6,1728,2,Gd,673,864,Gd,864,Gd,2,7,2003,RFn,2003,2003.0,0.0,0,Ex,503,PConc,Attchd,64.0,216,864,56,No,1,8791,IR1,Y,SBrkr,Y,0
7,1604,2,Gd,660,1604,Gd,1604,Gd,2,8,2006,RFn,2006,2006.0,180.0,1,Ex,1334,PConc,Attchd,68.0,123,0,110,No,1,8814,Reg,Y,SBrkr,Y,1
7,1792,2,Gd,564,963,Gd,963,Gd,2,7,2001,RFn,2001,2001.0,172.0,1,Ex,361,PConc,Attchd,80.0,0,829,96,No,1,12435,Reg,Y,SBrkr,Y,0
5,882,1,TA,308,0,,882,TA,1,4,1956,Unf,1956,1956.0,0.0,0,Gd,0,PConc,Detchd,70.0,0,0,45,,0,12702,Reg,Y,FuseA,Y,0
6,1382,2,TA,884,1362,TA,1382,TA,1,6,1962,Unf,1962,1991.0,399.0,1,TA,672,CBlock,Attchd,120.0,0,0,0,Gd,0,19296,Reg,Y,SBrkr,Y,1
8,2574,3,Gd,868,1482,Ex,1482,Ex,2,10,2007,Fin,2007,2007.0,270.0,1,Ex,0,PConc,BuiltIn,69.0,0,1092,148,No,1,9588,IR1,Y,SBrkr,Y,0
6,1212,2,TA,492,506,Gd,1212,TA,1,6,1977,Unf,1995,1978.0,46.0,1,TA,506,CBlock,Attchd,88.0,292,0,12,Av,0,8471,IR1,Y,SBrkr,Y,1
5,1316,2,TA,484,926,TA,926,TA,1,6,1929,Unf,2001,1974.0,0.0,0,TA,234,BrkTil,Detchd,50.0,0,0,0,No,0,5500,Reg,Y,SBrkr,Y,1
5,764,2,TA,504,680,Fa,764,TA,1,4,1925,Unf,2004,1965.0,0.0,0,Gd,0,BrkTil,Detchd,30.0,0,0,0,No,0,5232,IR3,N,FuseP,N,0
6,1422,2,TA,576,1422,Gd,1422,Gd,2,7,1981,Fin,1981,1981.0,210.0,1,TA,588,CBlock,Attchd,78.0,276,0,0,No,0,12090,IR1,Y,SBrkr,Y,0
6,1511,2,TA,413,802,Gd,802,TA,2,8,1997,Fin,1997,1997.0,0.0,1,Gd,714,PConc,Attchd,70.0,95,709,75,Av,1,11207,IR1,Y,SBrkr,Y,1
5,2192,1,TA,240,720,TA,1052,Gd,2,8,1939,Unf,1997,1939.0,0.0,1,Ex,378,PConc,Detchd,60.0,262,720,24,No,1,8400,Reg,Y,SBrkr,Y,0
5,778,1,TA,924,740,TA,778,TA,1,4,1940,Fin,1955,1966.0,0.0,1,Ex,403,CBlock,Detchd,71.0,0,0,25,No,0,6900,Reg,Y,SBrkr,Y,0
6,1113,1,TA,504,1143,TA,1113,TA,1,6,1976,RFn,1976,1987.0,174.0,1,TA,751,CBlock,Attchd,,370,0,30,No,1,7917,IR1,Y,SBrkr,Y,1
8,1939,3,Gd,1053,1095,Gd,1095,Gd,2,8,2006,RFn,2006,2006.0,0.0,1,Gd,0,PConc,Attchd,84.0,192,844,51,Mn,1,10728,Reg,Y,SBrkr,Y,0
7,1363,2,TA,439,1385,Gd,1363,TA,1,5,1954,Unf,2005,1954.0,0.0,2,Ex,226,CBlock,Attchd,73.0,81,0,0,Gd,0,39104,IR1,Y,SBrkr,Y,1
8,2270,3,Gd,671,1152,Gd,1164,Gd,2,9,1999,Fin,2007,1999.0,348.0,1,Ex,524,PConc,Attchd,92.0,132,1106,57,No,1,11764,IR1,Y,SBrkr,Y,0
6,1632,1,TA,338,1240,TA,1632,TA,2,6,1958,RFn,1988,1958.0,183.0,1,Gd,620,CBlock,Attchd,80.0,289,0,0,No,0,9600,Reg,Y,SBrkr,Y,1
